Sector,Category,SubCategory,Risk_ID,Risk_Name,Risk_Type,Likelihood,Impact,Risk_Score,Risk_Level,Mitigation_Strategy,Owner,Review_Date
Construction & Real Estate,Building Materials,Lumber,R0022,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Construction & Real Estate,Building Materials,Lumber,R0023,Price Volatility,FINANCIAL,2,3,6,MEDIUM,Implement controls for price volatility,Procurement Team,2026-04-03
Construction & Real Estate,Building Materials,Lumber,R0024,Quality Issues,OPERATIONAL,3,2,6,MEDIUM,Implement controls for quality issues,Procurement Team,2026-04-03
Construction & Real Estate,Building Materials,Lumber,R0025,Geopolitical Risk,STRATEGIC,1,3,3,LOW,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Construction & Real Estate,Building Materials,Lumber,R0026,Supplier Financial Stability,FINANCIAL,3,2,6,MEDIUM,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Construction & Real Estate,Building Materials,Lumber,R0027,Regulatory Compliance,COMPLIANCE,1,4,4,MEDIUM,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Construction & Real Estate,Building Materials,Lumber,R0028,ESG/Sustainability,COMPLIANCE,4,3,12,HIGH,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Construction & Real Estate,Building Materials,Structural Steel,R0029,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Construction & Real Estate,Building Materials,Structural Steel,R0030,Price Volatility,FINANCIAL,4,3,12,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Construction & Real Estate,Building Materials,Structural Steel,R0031,Quality Issues,OPERATIONAL,3,3,9,HIGH,Implement controls for quality issues,Procurement Team,2026-04-03
Construction & Real Estate,Building Materials,Structural Steel,R0032,Geopolitical Risk,STRATEGIC,1,3,3,LOW,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Construction & Real Estate,Building Materials,Structural Steel,R0033,Supplier Financial Stability,FINANCIAL,1,3,3,LOW,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Construction & Real Estate,Building Materials,Structural Steel,R0034,Regulatory Compliance,COMPLIANCE,2,3,6,MEDIUM,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Construction & Real Estate,Building Materials,Structural Steel,R0035,ESG/Sustainability,COMPLIANCE,1,4,4,MEDIUM,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Construction & Real Estate,Construction Equipment,Heavy Equipment,R0036,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Construction & Real Estate,Construction Equipment,Heavy Equipment,R0037,Price Volatility,FINANCIAL,3,3,9,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Construction & Real Estate,Construction Equipment,Heavy Equipment,R0038,Quality Issues,OPERATIONAL,1,4,4,MEDIUM,Implement controls for quality issues,Procurement Team,2026-04-03
Construction & Real Estate,Construction Equipment,Heavy Equipment,R0039,Geopolitical Risk,STRATEGIC,1,3,3,LOW,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Construction & Real Estate,Construction Equipment,Heavy Equipment,R0040,Supplier Financial Stability,FINANCIAL,2,3,6,MEDIUM,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Construction & Real Estate,Construction Equipment,Heavy Equipment,R0041,Regulatory Compliance,COMPLIANCE,4,2,8,MEDIUM,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Construction & Real Estate,Construction Equipment,Heavy Equipment,R0042,ESG/Sustainability,COMPLIANCE,3,4,12,HIGH,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Construction & Real Estate,Construction Equipment,Power Tools,R0043,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Construction & Real Estate,Construction Equipment,Power Tools,R0044,Price Volatility,FINANCIAL,3,3,9,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Construction & Real Estate,Construction Equipment,Power Tools,R0045,Quality Issues,OPERATIONAL,1,4,4,MEDIUM,Implement controls for quality issues,Procurement Team,2026-04-03
Construction & Real Estate,Construction Equipment,Power Tools,R0046,Geopolitical Risk,STRATEGIC,3,4,12,HIGH,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Construction & Real Estate,Construction Equipment,Power Tools,R0047,Supplier Financial Stability,FINANCIAL,3,4,12,HIGH,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Construction & Real Estate,Construction Equipment,Power Tools,R0048,Regulatory Compliance,COMPLIANCE,3,4,12,HIGH,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Construction & Real Estate,Construction Equipment,Power Tools,R0049,ESG/Sustainability,COMPLIANCE,4,3,12,HIGH,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Construction & Real Estate,Construction Equipment,Scaffolding,R0050,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Construction & Real Estate,Construction Equipment,Scaffolding,R0051,Price Volatility,FINANCIAL,3,3,9,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Construction & Real Estate,Construction Equipment,Scaffolding,R0052,Quality Issues,OPERATIONAL,3,4,12,HIGH,Implement controls for quality issues,Procurement Team,2026-04-03
Construction & Real Estate,Construction Equipment,Scaffolding,R0053,Geopolitical Risk,STRATEGIC,3,4,12,HIGH,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Construction & Real Estate,Construction Equipment,Scaffolding,R0054,Supplier Financial Stability,FINANCIAL,2,2,4,MEDIUM,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Construction & Real Estate,Construction Equipment,Scaffolding,R0055,Regulatory Compliance,COMPLIANCE,4,4,16,CRITICAL,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Construction & Real Estate,Construction Equipment,Scaffolding,R0056,ESG/Sustainability,COMPLIANCE,4,4,16,CRITICAL,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Construction & Real Estate,MEP Systems,Electrical Systems,R0057,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Construction & Real Estate,MEP Systems,Electrical Systems,R0058,Price Volatility,FINANCIAL,4,3,12,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Construction & Real Estate,MEP Systems,Electrical Systems,R0059,Quality Issues,OPERATIONAL,2,4,8,MEDIUM,Implement controls for quality issues,Procurement Team,2026-04-03
Construction & Real Estate,MEP Systems,Electrical Systems,R0060,Geopolitical Risk,STRATEGIC,2,3,6,MEDIUM,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Construction & Real Estate,MEP Systems,Electrical Systems,R0061,Supplier Financial Stability,FINANCIAL,3,3,9,HIGH,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Construction & Real Estate,MEP Systems,Electrical Systems,R0062,Regulatory Compliance,COMPLIANCE,1,3,3,LOW,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Construction & Real Estate,MEP Systems,Electrical Systems,R0063,ESG/Sustainability,COMPLIANCE,3,2,6,MEDIUM,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Construction & Real Estate,MEP Systems,HVAC Equipment,R0064,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Construction & Real Estate,MEP Systems,HVAC Equipment,R0065,Price Volatility,FINANCIAL,3,3,9,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Construction & Real Estate,MEP Systems,HVAC Equipment,R0066,Quality Issues,OPERATIONAL,3,3,9,HIGH,Implement controls for quality issues,Procurement Team,2026-04-03
Construction & Real Estate,MEP Systems,HVAC Equipment,R0067,Geopolitical Risk,STRATEGIC,3,4,12,HIGH,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Construction & Real Estate,MEP Systems,HVAC Equipment,R0068,Supplier Financial Stability,FINANCIAL,4,3,12,HIGH,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Construction & Real Estate,MEP Systems,HVAC Equipment,R0069,Regulatory Compliance,COMPLIANCE,2,4,8,MEDIUM,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Construction & Real Estate,MEP Systems,HVAC Equipment,R0070,ESG/Sustainability,COMPLIANCE,4,4,16,CRITICAL,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Construction & Real Estate,MEP Systems,Plumbing Systems,R0071,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Construction & Real Estate,MEP Systems,Plumbing Systems,R0072,Price Volatility,FINANCIAL,2,3,6,MEDIUM,Implement controls for price volatility,Procurement Team,2026-04-03
Construction & Real Estate,MEP Systems,Plumbing Systems,R0073,Quality Issues,OPERATIONAL,1,3,3,LOW,Implement controls for quality issues,Procurement Team,2026-04-03
Construction & Real Estate,MEP Systems,Plumbing Systems,R0074,Geopolitical Risk,STRATEGIC,5,4,20,CRITICAL,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Construction & Real Estate,MEP Systems,Plumbing Systems,R0075,Supplier Financial Stability,FINANCIAL,3,2,6,MEDIUM,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Construction & Real Estate,MEP Systems,Plumbing Systems,R0076,Regulatory Compliance,COMPLIANCE,2,4,8,MEDIUM,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Construction & Real Estate,MEP Systems,Plumbing Systems,R0077,ESG/Sustainability,COMPLIANCE,3,2,6,MEDIUM,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Energy & Utilities,Electricity,Backup Power,R0078,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Energy & Utilities,Electricity,Backup Power,R0079,Price Volatility,FINANCIAL,2,3,6,MEDIUM,Implement controls for price volatility,Procurement Team,2026-04-03
Energy & Utilities,Electricity,Backup Power,R0080,Quality Issues,OPERATIONAL,2,2,4,MEDIUM,Implement controls for quality issues,Procurement Team,2026-04-03
Energy & Utilities,Electricity,Backup Power,R0081,Geopolitical Risk,STRATEGIC,1,3,3,LOW,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Energy & Utilities,Electricity,Backup Power,R0082,Supplier Financial Stability,FINANCIAL,1,2,2,LOW,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Energy & Utilities,Electricity,Backup Power,R0083,Regulatory Compliance,COMPLIANCE,4,4,16,CRITICAL,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Energy & Utilities,Electricity,Backup Power,R0084,ESG/Sustainability,COMPLIANCE,1,3,3,LOW,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Energy & Utilities,Electricity,Grid Electricity,R0085,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Energy & Utilities,Electricity,Grid Electricity,R0086,Price Volatility,FINANCIAL,3,3,9,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Energy & Utilities,Electricity,Grid Electricity,R0087,Quality Issues,OPERATIONAL,2,4,8,MEDIUM,Implement controls for quality issues,Procurement Team,2026-04-03
Energy & Utilities,Electricity,Grid Electricity,R0088,Geopolitical Risk,STRATEGIC,1,3,3,LOW,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Energy & Utilities,Electricity,Grid Electricity,R0089,Supplier Financial Stability,FINANCIAL,4,3,12,HIGH,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Energy & Utilities,Electricity,Grid Electricity,R0090,Regulatory Compliance,COMPLIANCE,4,2,8,MEDIUM,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Energy & Utilities,Electricity,Grid Electricity,R0091,ESG/Sustainability,COMPLIANCE,2,4,8,MEDIUM,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Energy & Utilities,Electricity,Renewable Electricity,R0092,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Energy & Utilities,Electricity,Renewable Electricity,R0093,Price Volatility,FINANCIAL,4,3,12,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Energy & Utilities,Electricity,Renewable Electricity,R0094,Quality Issues,OPERATIONAL,1,2,2,LOW,Implement controls for quality issues,Procurement Team,2026-04-03
Energy & Utilities,Electricity,Renewable Electricity,R0095,Geopolitical Risk,STRATEGIC,1,3,3,LOW,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Energy & Utilities,Electricity,Renewable Electricity,R0096,Supplier Financial Stability,FINANCIAL,4,2,8,MEDIUM,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Energy & Utilities,Electricity,Renewable Electricity,R0097,Regulatory Compliance,COMPLIANCE,2,4,8,MEDIUM,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Energy & Utilities,Electricity,Renewable Electricity,R0098,ESG/Sustainability,COMPLIANCE,4,2,8,MEDIUM,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Energy & Utilities,Fuels,Aviation Fuel,R0099,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Energy & Utilities,Fuels,Aviation Fuel,R0100,Price Volatility,FINANCIAL,4,3,12,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Energy & Utilities,Fuels,Aviation Fuel,R0101,Quality Issues,OPERATIONAL,2,2,4,MEDIUM,Implement controls for quality issues,Procurement Team,2026-04-03
Energy & Utilities,Fuels,Aviation Fuel,R0102,Geopolitical Risk,STRATEGIC,1,3,3,LOW,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Energy & Utilities,Fuels,Aviation Fuel,R0103,Supplier Financial Stability,FINANCIAL,4,2,8,MEDIUM,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Energy & Utilities,Fuels,Aviation Fuel,R0104,Regulatory Compliance,COMPLIANCE,4,4,16,CRITICAL,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Energy & Utilities,Fuels,Aviation Fuel,R0105,ESG/Sustainability,COMPLIANCE,3,3,9,HIGH,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Energy & Utilities,Fuels,Biofuels,R0106,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Energy & Utilities,Fuels,Biofuels,R0107,Price Volatility,FINANCIAL,4,3,12,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Energy & Utilities,Fuels,Biofuels,R0108,Quality Issues,OPERATIONAL,4,4,16,CRITICAL,Implement controls for quality issues,Procurement Team,2026-04-03
Energy & Utilities,Fuels,Biofuels,R0109,Geopolitical Risk,STRATEGIC,2,3,6,MEDIUM,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Energy & Utilities,Fuels,Biofuels,R0110,Supplier Financial Stability,FINANCIAL,4,2,8,MEDIUM,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Energy & Utilities,Fuels,Biofuels,R0111,Regulatory Compliance,COMPLIANCE,4,3,12,HIGH,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Energy & Utilities,Fuels,Biofuels,R0112,ESG/Sustainability,COMPLIANCE,3,2,6,MEDIUM,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Energy & Utilities,Fuels,Diesel,R0113,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Energy & Utilities,Fuels,Diesel,R0114,Price Volatility,FINANCIAL,4,3,12,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Energy & Utilities,Fuels,Diesel,R0115,Quality Issues,OPERATIONAL,3,4,12,HIGH,Implement controls for quality issues,Procurement Team,2026-04-03
Energy & Utilities,Fuels,Diesel,R0116,Geopolitical Risk,STRATEGIC,3,4,12,HIGH,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Energy & Utilities,Fuels,Diesel,R0117,Supplier Financial Stability,FINANCIAL,4,4,16,CRITICAL,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Energy & Utilities,Fuels,Diesel,R0118,Regulatory Compliance,COMPLIANCE,2,3,6,MEDIUM,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Energy & Utilities,Fuels,Diesel,R0119,ESG/Sustainability,COMPLIANCE,4,2,8,MEDIUM,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Energy & Utilities,Fuels,Natural Gas,R0120,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Energy & Utilities,Fuels,Natural Gas,R0121,Price Volatility,FINANCIAL,4,3,12,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Energy & Utilities,Fuels,Natural Gas,R0122,Quality Issues,OPERATIONAL,3,2,6,MEDIUM,Implement controls for quality issues,Procurement Team,2026-04-03
Energy & Utilities,Fuels,Natural Gas,R0123,Geopolitical Risk,STRATEGIC,1,3,3,LOW,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Energy & Utilities,Fuels,Natural Gas,R0124,Supplier Financial Stability,FINANCIAL,3,3,9,HIGH,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Energy & Utilities,Fuels,Natural Gas,R0125,Regulatory Compliance,COMPLIANCE,3,4,12,HIGH,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Energy & Utilities,Fuels,Natural Gas,R0126,ESG/Sustainability,COMPLIANCE,1,2,2,LOW,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Energy & Utilities,Renewable Equipment,Battery Storage,R0127,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Energy & Utilities,Renewable Equipment,Battery Storage,R0128,Price Volatility,FINANCIAL,2,3,6,MEDIUM,Implement controls for price volatility,Procurement Team,2026-04-03
Energy & Utilities,Renewable Equipment,Battery Storage,R0129,Quality Issues,OPERATIONAL,2,3,6,MEDIUM,Implement controls for quality issues,Procurement Team,2026-04-03
Energy & Utilities,Renewable Equipment,Battery Storage,R0130,Geopolitical Risk,STRATEGIC,1,3,3,LOW,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Energy & Utilities,Renewable Equipment,Battery Storage,R0131,Supplier Financial Stability,FINANCIAL,2,4,8,MEDIUM,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Energy & Utilities,Renewable Equipment,Battery Storage,R0132,Regulatory Compliance,COMPLIANCE,2,2,4,MEDIUM,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Energy & Utilities,Renewable Equipment,Battery Storage,R0133,ESG/Sustainability,COMPLIANCE,4,3,12,HIGH,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Energy & Utilities,Renewable Equipment,Solar Panels,R0134,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Energy & Utilities,Renewable Equipment,Solar Panels,R0135,Price Volatility,FINANCIAL,3,3,9,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Energy & Utilities,Renewable Equipment,Solar Panels,R0136,Quality Issues,OPERATIONAL,4,3,12,HIGH,Implement controls for quality issues,Procurement Team,2026-04-03
Energy & Utilities,Renewable Equipment,Solar Panels,R0137,Geopolitical Risk,STRATEGIC,1,3,3,LOW,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Energy & Utilities,Renewable Equipment,Solar Panels,R0138,Supplier Financial Stability,FINANCIAL,1,2,2,LOW,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Energy & Utilities,Renewable Equipment,Solar Panels,R0139,Regulatory Compliance,COMPLIANCE,4,3,12,HIGH,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Energy & Utilities,Renewable Equipment,Solar Panels,R0140,ESG/Sustainability,COMPLIANCE,1,4,4,MEDIUM,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Energy & Utilities,Renewable Equipment,Wind Turbines,R0141,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Energy & Utilities,Renewable Equipment,Wind Turbines,R0142,Price Volatility,FINANCIAL,3,3,9,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Energy & Utilities,Renewable Equipment,Wind Turbines,R0143,Quality Issues,OPERATIONAL,4,2,8,MEDIUM,Implement controls for quality issues,Procurement Team,2026-04-03
Energy & Utilities,Renewable Equipment,Wind Turbines,R0144,Geopolitical Risk,STRATEGIC,1,3,3,LOW,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Energy & Utilities,Renewable Equipment,Wind Turbines,R0145,Supplier Financial Stability,FINANCIAL,3,3,9,HIGH,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Energy & Utilities,Renewable Equipment,Wind Turbines,R0146,Regulatory Compliance,COMPLIANCE,4,3,12,HIGH,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Energy & Utilities,Renewable Equipment,Wind Turbines,R0147,ESG/Sustainability,COMPLIANCE,2,3,6,MEDIUM,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Facilities & Corporate Services,Facilities Management,Building Maintenance,R0148,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Facilities & Corporate Services,Facilities Management,Building Maintenance,R0149,Price Volatility,FINANCIAL,2,3,6,MEDIUM,Implement controls for price volatility,Procurement Team,2026-04-03
Facilities & Corporate Services,Facilities Management,Building Maintenance,R0150,Quality Issues,OPERATIONAL,3,3,9,HIGH,Implement controls for quality issues,Procurement Team,2026-04-03
Facilities & Corporate Services,Facilities Management,Building Maintenance,R0151,Geopolitical Risk,STRATEGIC,3,4,12,HIGH,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Facilities & Corporate Services,Facilities Management,Building Maintenance,R0152,Supplier Financial Stability,FINANCIAL,4,2,8,MEDIUM,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Facilities & Corporate Services,Facilities Management,Building Maintenance,R0153,Regulatory Compliance,COMPLIANCE,4,3,12,HIGH,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Facilities & Corporate Services,Facilities Management,Building Maintenance,R0154,ESG/Sustainability,COMPLIANCE,4,4,16,CRITICAL,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Facilities & Corporate Services,Facilities Management,Cleaning Services,R0155,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Facilities & Corporate Services,Facilities Management,Cleaning Services,R0156,Price Volatility,FINANCIAL,2,3,6,MEDIUM,Implement controls for price volatility,Procurement Team,2026-04-03
Facilities & Corporate Services,Facilities Management,Cleaning Services,R0157,Quality Issues,OPERATIONAL,4,2,8,MEDIUM,Implement controls for quality issues,Procurement Team,2026-04-03
Facilities & Corporate Services,Facilities Management,Cleaning Services,R0158,Geopolitical Risk,STRATEGIC,2,3,6,MEDIUM,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Facilities & Corporate Services,Facilities Management,Cleaning Services,R0159,Supplier Financial Stability,FINANCIAL,1,3,3,LOW,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Facilities & Corporate Services,Facilities Management,Cleaning Services,R0160,Regulatory Compliance,COMPLIANCE,1,2,2,LOW,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Facilities & Corporate Services,Facilities Management,Cleaning Services,R0161,ESG/Sustainability,COMPLIANCE,4,2,8,MEDIUM,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Facilities & Corporate Services,Facilities Management,Security Services,R0162,Supply Chain Disruption,OPERATIONAL,3,4,12,HIGH,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Facilities & Corporate Services,Facilities Management,Security Services,R0163,Price Volatility,FINANCIAL,3,3,9,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Facilities & Corporate Services,Facilities Management,Security Services,R0164,Quality Issues,OPERATIONAL,2,2,4,MEDIUM,Implement controls for quality issues,Procurement Team,2026-04-03
