Sector,Category,SubCategory,Metric,Calculated_Value,Calculation_Method,Data_Sources,Calculation_Date,Confidence_Level
Construction & Real Estate,Building Materials,Lumber,Top_Region_Concentration_Pct,65.9,MAX(Region_Spend)/Total_Spend*100 [Americas],spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Building Materials,Lumber,Top_Supplier_Concentration_Pct,28.14,MAX(Supplier_Spend)/Total_Spend*100,spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Building Materials,Lumber,Top3_Supplier_Concentration_Pct,58.25,SUM(Top3_Supplier_Spend)/Total_Spend*100,spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Building Materials,Lumber,Avg_Quality_Rating,4.45,AVG(Quality_Rating),spend_data.csv,2026-01-03,MEDIUM
Construction & Real Estate,Building Materials,Lumber,Avg_Delivery_Rating,4.19,AVG(Delivery_Rating),spend_data.csv,2026-01-03,MEDIUM
Construction & Real Estate,Building Materials,Lumber,Regional_Risk_Score,79.1,Concentration_Based_Risk_Calculation,spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Building Materials,Lumber,Supplier_Risk_Score,33.8,Concentration_Based_Risk_Calculation,spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Building Materials,Lumber,Overall_Risk_Score,49.1,WEIGHTED_AVG(Regional*0.4 + Supplier*0.4 + DataRisk*0.2),spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Building Materials,Structural Steel,Total_Spend_USD,18185600.0,SUM(Spend_USD),spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Building Materials,Structural Steel,Number_of_Suppliers,7.0,COUNT(DISTINCT Supplier_ID),spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Building Materials,Structural Steel,Number_of_Transactions,21.0,COUNT(*),spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Building Materials,Structural Steel,Top_Region_Concentration_Pct,58.29,MAX(Region_Spend)/Total_Spend*100 [Americas],spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Building Materials,Structural Steel,Top_Supplier_Concentration_Pct,24.37,MAX(Supplier_Spend)/Total_Spend*100,spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Building Materials,Structural Steel,Top3_Supplier_Concentration_Pct,62.31,SUM(Top3_Supplier_Spend)/Total_Spend*100,spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Building Materials,Structural Steel,Avg_Quality_Rating,4.47,AVG(Quality_Rating),spend_data.csv,2026-01-03,MEDIUM
Construction & Real Estate,Building Materials,Structural Steel,Avg_Delivery_Rating,4.43,AVG(Delivery_Rating),spend_data.csv,2026-01-03,MEDIUM
Construction & Real Estate,Building Materials,Structural Steel,Regional_Risk_Score,70.0,Concentration_Based_Risk_Calculation,spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Building Materials,Structural Steel,Supplier_Risk_Score,29.2,Concentration_Based_Risk_Calculation,spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Building Materials,Structural Steel,Overall_Risk_Score,43.7,WEIGHTED_AVG(Regional*0.4 + Supplier*0.4 + DataRisk*0.2),spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Construction Equipment,Heavy Equipment,Total_Spend_USD,8122300.0,SUM(Spend_USD),spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Construction Equipment,Heavy Equipment,Number_of_Suppliers,7.0,COUNT(DISTINCT Supplier_ID),spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Construction Equipment,Heavy Equipment,Number_of_Transactions,18.0,COUNT(*),spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Construction Equipment,Heavy Equipment,Top_Region_Concentration_Pct,55.42,MAX(Region_Spend)/Total_Spend*100 [Americas],spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Construction Equipment,Heavy Equipment,Top_Supplier_Concentration_Pct,39.89,MAX(Supplier_Spend)/Total_Spend*100,spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Construction Equipment,Heavy Equipment,Top3_Supplier_Concentration_Pct,68.5,SUM(Top3_Supplier_Spend)/Total_Spend*100,spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Construction Equipment,Heavy Equipment,Avg_Quality_Rating,4.39,AVG(Quality_Rating),spend_data.csv,2026-01-03,MEDIUM
Construction & Real Estate,Construction Equipment,Heavy Equipment,Avg_Delivery_Rating,4.36,AVG(Delivery_Rating),spend_data.csv,2026-01-03,MEDIUM
Construction & Real Estate,Construction Equipment,Heavy Equipment,Regional_Risk_Score,66.5,Concentration_Based_Risk_Calculation,spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Construction Equipment,Heavy Equipment,Supplier_Risk_Score,47.9,Concentration_Based_Risk_Calculation,spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Construction Equipment,Heavy Equipment,Overall_Risk_Score,49.8,WEIGHTED_AVG(Regional*0.4 + Supplier*0.4 + DataRisk*0.2),spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Construction Equipment,Power Tools,Total_Spend_USD,9423700.0,SUM(Spend_USD),spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Construction Equipment,Power Tools,Number_of_Suppliers,6.0,COUNT(DISTINCT Supplier_ID),spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Construction Equipment,Power Tools,Number_of_Transactions,14.0,COUNT(*),spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Construction Equipment,Power Tools,Top_Region_Concentration_Pct,39.09,MAX(Region_Spend)/Total_Spend*100 [Europe],spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Construction Equipment,Power Tools,Top_Supplier_Concentration_Pct,28.19,MAX(Supplier_Spend)/Total_Spend*100,spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Construction Equipment,Power Tools,Top3_Supplier_Concentration_Pct,69.09,SUM(Top3_Supplier_Spend)/Total_Spend*100,spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Construction Equipment,Power Tools,Avg_Quality_Rating,4.41,AVG(Quality_Rating),spend_data.csv,2026-01-03,MEDIUM
Construction & Real Estate,Construction Equipment,Power Tools,Avg_Delivery_Rating,4.43,AVG(Delivery_Rating),spend_data.csv,2026-01-03,MEDIUM
Construction & Real Estate,Construction Equipment,Power Tools,Regional_Risk_Score,46.9,Concentration_Based_Risk_Calculation,spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Construction Equipment,Power Tools,Supplier_Risk_Score,33.8,Concentration_Based_Risk_Calculation,spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Construction Equipment,Power Tools,Overall_Risk_Score,36.3,WEIGHTED_AVG(Regional*0.4 + Supplier*0.4 + DataRisk*0.2),spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Construction Equipment,Scaffolding,Total_Spend_USD,7021300.0,SUM(Spend_USD),spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Construction Equipment,Scaffolding,Number_of_Suppliers,6.0,COUNT(DISTINCT Supplier_ID),spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Construction Equipment,Scaffolding,Number_of_Transactions,16.0,COUNT(*),spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Construction Equipment,Scaffolding,Top_Region_Concentration_Pct,38.42,MAX(Region_Spend)/Total_Spend*100 [Europe],spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Construction Equipment,Scaffolding,Top_Supplier_Concentration_Pct,35.93,MAX(Supplier_Spend)/Total_Spend*100,spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Construction Equipment,Scaffolding,Top3_Supplier_Concentration_Pct,68.08,SUM(Top3_Supplier_Spend)/Total_Spend*100,spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Construction Equipment,Scaffolding,Avg_Quality_Rating,4.46,AVG(Quality_Rating),spend_data.csv,2026-01-03,MEDIUM
Construction & Real Estate,Construction Equipment,Scaffolding,Avg_Delivery_Rating,4.29,AVG(Delivery_Rating),spend_data.csv,2026-01-03,MEDIUM
Construction & Real Estate,Construction Equipment,Scaffolding,Regional_Risk_Score,46.1,Concentration_Based_Risk_Calculation,spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Construction Equipment,Scaffolding,Supplier_Risk_Score,43.1,Concentration_Based_Risk_Calculation,spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,Construction Equipment,Scaffolding,Overall_Risk_Score,39.7,WEIGHTED_AVG(Regional*0.4 + Supplier*0.4 + DataRisk*0.2),spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,MEP Systems,Electrical Systems,Total_Spend_USD,4264000.0,SUM(Spend_USD),spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,MEP Systems,Electrical Systems,Number_of_Suppliers,5.0,COUNT(DISTINCT Supplier_ID),spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,MEP Systems,Electrical Systems,Number_of_Transactions,10.0,COUNT(*),spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,MEP Systems,Electrical Systems,Top_Region_Concentration_Pct,51.47,MAX(Region_Spend)/Total_Spend*100 [Europe],spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,MEP Systems,Electrical Systems,Top_Supplier_Concentration_Pct,26.89,MAX(Supplier_Spend)/Total_Spend*100,spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,MEP Systems,Electrical Systems,Top3_Supplier_Concentration_Pct,66.26,SUM(Top3_Supplier_Spend)/Total_Spend*100,spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,MEP Systems,Electrical Systems,Avg_Quality_Rating,4.39,AVG(Quality_Rating),spend_data.csv,2026-01-03,MEDIUM
Construction & Real Estate,MEP Systems,Electrical Systems,Avg_Delivery_Rating,4.26,AVG(Delivery_Rating),spend_data.csv,2026-01-03,MEDIUM
Construction & Real Estate,MEP Systems,Electrical Systems,Regional_Risk_Score,61.8,Concentration_Based_Risk_Calculation,spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,MEP Systems,Electrical Systems,Supplier_Risk_Score,32.3,Concentration_Based_Risk_Calculation,spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,MEP Systems,Electrical Systems,Overall_Risk_Score,41.6,WEIGHTED_AVG(Regional*0.4 + Supplier*0.4 + DataRisk*0.2),spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,MEP Systems,HVAC Equipment,Total_Spend_USD,9076700.0,SUM(Spend_USD),spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,MEP Systems,HVAC Equipment,Number_of_Suppliers,6.0,COUNT(DISTINCT Supplier_ID),spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,MEP Systems,HVAC Equipment,Number_of_Transactions,17.0,COUNT(*),spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,MEP Systems,HVAC Equipment,Top_Region_Concentration_Pct,39.12,MAX(Region_Spend)/Total_Spend*100 [Europe],spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,MEP Systems,HVAC Equipment,Top_Supplier_Concentration_Pct,29.0,MAX(Supplier_Spend)/Total_Spend*100,spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,MEP Systems,HVAC Equipment,Top3_Supplier_Concentration_Pct,68.48,SUM(Top3_Supplier_Spend)/Total_Spend*100,spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,MEP Systems,HVAC Equipment,Avg_Quality_Rating,4.56,AVG(Quality_Rating),spend_data.csv,2026-01-03,MEDIUM
Construction & Real Estate,MEP Systems,HVAC Equipment,Avg_Delivery_Rating,4.22,AVG(Delivery_Rating),spend_data.csv,2026-01-03,MEDIUM
Construction & Real Estate,MEP Systems,HVAC Equipment,Regional_Risk_Score,46.9,Concentration_Based_Risk_Calculation,spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,MEP Systems,HVAC Equipment,Supplier_Risk_Score,34.8,Concentration_Based_Risk_Calculation,spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,MEP Systems,HVAC Equipment,Overall_Risk_Score,36.7,WEIGHTED_AVG(Regional*0.4 + Supplier*0.4 + DataRisk*0.2),spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,MEP Systems,Plumbing Systems,Total_Spend_USD,5573900.0,SUM(Spend_USD),spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,MEP Systems,Plumbing Systems,Number_of_Suppliers,5.0,COUNT(DISTINCT Supplier_ID),spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,MEP Systems,Plumbing Systems,Number_of_Transactions,15.0,COUNT(*),spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,MEP Systems,Plumbing Systems,Top_Region_Concentration_Pct,63.86,MAX(Region_Spend)/Total_Spend*100 [Middle East],spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,MEP Systems,Plumbing Systems,Top_Supplier_Concentration_Pct,32.03,MAX(Supplier_Spend)/Total_Spend*100,spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,MEP Systems,Plumbing Systems,Top3_Supplier_Concentration_Pct,78.0,SUM(Top3_Supplier_Spend)/Total_Spend*100,spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,MEP Systems,Plumbing Systems,Avg_Quality_Rating,4.27,AVG(Quality_Rating),spend_data.csv,2026-01-03,MEDIUM
Construction & Real Estate,MEP Systems,Plumbing Systems,Avg_Delivery_Rating,4.36,AVG(Delivery_Rating),spend_data.csv,2026-01-03,MEDIUM
Construction & Real Estate,MEP Systems,Plumbing Systems,Regional_Risk_Score,76.6,Concentration_Based_Risk_Calculation,spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,MEP Systems,Plumbing Systems,Supplier_Risk_Score,38.4,Concentration_Based_Risk_Calculation,spend_data.csv,2026-01-03,HIGH
Construction & Real Estate,MEP Systems,Plumbing Systems,Overall_Risk_Score,50.0,WEIGHTED_AVG(Regional*0.4 + Supplier*0.4 + DataRisk*0.2),spend_data.csv,2026-01-03,HIGH
Energy & Utilities,Electricity,Backup Power,Total_Spend_USD,14191600.0,SUM(Spend_USD),spend_data.csv,2026-01-03,HIGH
Energy & Utilities,Electricity,Backup Power,Number_of_Suppliers,6.0,COUNT(DISTINCT Supplier_ID),spend_data.csv,2026-01-03,HIGH
Energy & Utilities,Electricity,Backup Power,Number_of_Transactions,15.0,COUNT(*),spend_data.csv,2026-01-03,HIGH
Energy & Utilities,Electricity,Backup Power,Top_Region_Concentration_Pct,44.85,MAX(Region_Spend)/Total_Spend*100 [APAC],spend_data.csv,2026-01-03,HIGH
Energy & Utilities,Electricity,Backup Power,Top_Supplier_Concentration_Pct,33.77,MAX(Supplier_Spend)/Total_Spend*100,spend_data.csv,2026-01-03,HIGH
Energy & Utilities,Electricity,Backup Power,Top3_Supplier_Concentration_Pct,78.63,SUM(Top3_Supplier_Spend)/Total_Spend*100,spend_data.csv,2026-01-03,HIGH
Energy & Utilities,Electricity,Backup Power,Avg_Quality_Rating,4.31,AVG(Quality_Rating),spend_data.csv,2026-01-03,MEDIUM
Energy & Utilities,Electricity,Backup Power,Avg_Delivery_Rating,4.31,AVG(Delivery_Rating),spend_data.csv,2026-01-03,MEDIUM
Energy & Utilities,Electricity,Backup Power,Regional_Risk_Score,53.8,Concentration_Based_Risk_Calculation,spend_data.csv,2026-01-03,HIGH
Energy & Utilities,Electricity,Backup Power,Supplier_Risk_Score,40.5,Concentration_Based_Risk_Calculation,spend_data.csv,2026-01-03,HIGH
Energy & Utilities,Electricity,Backup Power,Overall_Risk_Score,41.7,WEIGHTED_AVG(Regional*0.4 + Supplier*0.4 + DataRisk*0.2),spend_data.csv,2026-01-03,HIGH
Energy & Utilities,Electricity,Grid Electricity,Total_Spend_USD,18192600.0,SUM(Spend_USD),spend_data.csv,2026-01-03,HIGH
Energy & Utilities,Electricity,Grid Electricity,Number_of_Suppliers,7.0,COUNT(DISTINCT Supplier_ID),spend_data.csv,2026-01-03,HIGH
Energy & Utilities,Electricity,Grid Electricity,Number_of_Transactions,20.0,COUNT(*),spend_data.csv,2026-01-03,HIGH
Energy & Utilities,Electricity,Grid Electricity,Top_Region_Concentration_Pct,77.65,MAX(Region_Spend)/Total_Spend*100 [Americas],spend_data.csv,2026-01-03,HIGH
Energy & Utilities,Electricity,Grid Electricity,Top_Supplier_Concentration_Pct,39.36,MAX(Supplier_Spend)/Total_Spend*100,spend_data.csv,2026-01-03,HIGH
Energy & Utilities,Electricity,Grid Electricity,Top3_Supplier_Concentration_Pct,73.04,SUM(Top3_Supplier_Spend)/Total_Spend*100,spend_data.csv,2026-01-03,HIGH
Energy & Utilities,Electricity,Grid Electricity,Avg_Quality_Rating,4.42,AVG(Quality_Rating),spend_data.csv,2026-01-03,MEDIUM
Energy & Utilities,Electricity,Grid Electricity,Avg_Delivery_Rating,4.41,AVG(Delivery_Rating),spend_data.csv,2026-01-03,MEDIUM
Energy & Utilities,Electricity,Grid Electricity,Regional_Risk_Score,93.2,Concentration_Based_Risk_Calculation,spend_data.csv,2026-01-03,HIGH
Energy & Utilities,Electricity,Grid Electricity,Supplier_Risk_Score,47.2,Concentration_Based_Risk_Calculation,spend_data.csv,2026-01-03,HIGH
Energy & Utilities,Electricity,Grid Electricity,Overall_Risk_Score,60.2,WEIGHTED_AVG(Regional*0.4 + Supplier*0.4 + DataRisk*0.2),spend_data.csv,2026-01-03,HIGH
Energy & Utilities,Electricity,Renewable Electricity,Total_Spend_USD,13379100.0,SUM(Spend_USD),spend_data.csv,2026-01-03,HIGH
Energy & Utilities,Electricity,Renewable Electricity,Number_of_Suppliers,5.0,COUNT(DISTINCT Supplier_ID),spend_data.csv,2026-01-03,HIGH
Energy & Utilities,Electricity,Renewable Electricity,Number_of_Transactions,13.0,COUNT(*),spend_data.csv,2026-01-03,HIGH
Energy & Utilities,Electricity,Renewable Electricity,Top_Region_Concentration_Pct,48.65,MAX(Region_Spend)/Total_Spend*100 [APAC],spend_data.csv,2026-01-03,HIGH
Energy & Utilities,Electricity,Renewable Electricity,Top_Supplier_Concentration_Pct,35.21,MAX(Supplier_Spend)/Total_Spend*100,spend_data.csv,2026-01-03,HIGH
Energy & Utilities,Electricity,Renewable Electricity,Top3_Supplier_Concentration_Pct,80.1,SUM(Top3_Supplier_Spend)/Total_Spend*100,spend_data.csv,2026-01-03,HIGH
Energy & Utilities,Electricity,Renewable Electricity,Avg_Quality_Rating,4.4,AVG(Quality_Rating),spend_data.csv,2026-01-03,MEDIUM
Energy & Utilities,Electricity,Renewable Electricity,Avg_Delivery_Rating,4.26,AVG(Delivery_Rating),spend_data.csv,2026-01-03,MEDIUM
Energy & Utilities,Electricity,Renewable Electricity,Regional_Risk_Score,58.4,Concentration_Based_Risk_Calculation,spend_data.csv,2026-01-03,HIGH
Energy & Utilities,Electricity,Renewable Electricity,Supplier_Risk_Score,42.2,Concentration_Based_Risk_Calculation,spend_data.csv,2026-01-03,HIGH
Energy & Utilities,Electricity,Renewable Electricity,Overall_Risk_Score,44.3,WEIGHTED_AVG(Regional*0.4 + Supplier*0.4 + DataRisk*0.2),spend_data.csv,2026-01-03,HIGH
Energy & Utilities,Fuels,Aviation Fuel,Total_Spend_USD,9139900.0,SUM(Spend_USD),spend_data.csv,2026-01-03,HIGH
Energy & Utilities,Fuels,Aviation Fuel,Number_of_Suppliers,8.0,COUNT(DISTINCT Supplier_ID),spend_data.csv,2026-01-03,HIGH
Energy & Utilities,Fuels,Aviation Fuel,Number_of_Transactions,22.0,COUNT(*),spend_data.csv,2026-01-03,HIGH
Energy & Utilities,Fuels,Aviation Fuel,Top_Region_Concentration_Pct,44.21,MAX(Region_Spend)/Total_Spend*100 [APAC],spend_data.csv,2026-01-03,HIGH
Energy & Utilities,Fuels,Aviation Fuel,Top_Supplier_Concentration_Pct,24.12,MAX(Supplier_Spend)/Total_Spend*100,spend_data.csv,2026-01-03,HIGH
Energy & Utilities,Fuels,Aviation Fuel,Top3_Supplier_Concentration_Pct,59.8,SUM(Top3_Supplier_Spend)/Total_Spend*100,spend_data.csv,2026-01-03,HIGH
Energy & Utilities,Fuels,Aviation Fuel,Avg_Quality_Rating,4.41,AVG(Quality_Rating),spend_data.csv,2026-01-03,MEDIUM
Energy & Utilities,Fuels,Aviation Fuel,Avg_Delivery_Rating,4.27,AVG(Delivery_Rating),spend_data.csv,2026-01-03,MEDIUM
Energy & Utilities,Fuels,Aviation Fuel,Regional_Risk_Score,53.1,Concentration_Based_Risk_Calculation,spend_data.csv,2026-01-03,HIGH
Energy & Utilities,Fuels,Aviation Fuel,Supplier_Risk_Score,28.9,Concentration_Based_Risk_Calculation,spend_data.csv,2026-01-03,HIGH
Energy & Utilities,Fuels,Aviation Fuel,Overall_Risk_Score,36.8,WEIGHTED_AVG(Regional*0.4 + Supplier*0.4 + DataRisk*0.2),spend_data.csv,2026-01-03,HIGH
Energy & Utilities,Fuels,Biofuels,Total_Spend_USD,6989600.0,SUM(Spend_USD),spend_data.csv,2026-01-03,HIGH
Energy & Utilities,Fuels,Biofuels,Number_of_Suppliers,8.0,COUNT(DISTINCT Supplier_ID),spend_data.csv,2026-01-03,HIGH
Energy & Utilities,Fuels,Biofuels,Number_of_Transactions,22.0,COUNT(*),spend_data.csv,2026-01-03,HIGH
Energy & Utilities,Fuels,Biofuels,Top_Region_Concentration_Pct,47.27,MAX(Region_Spend)/Total_Spend*100 [Europe],spend_data.csv,2026-01-03,HIGH
Energy & Utilities,Fuels,Biofuels,Top_Supplier_Concentration_Pct,27.04,MAX(Supplier_Spend)/Total_Spend*100,spend_data.csv,2026-01-03,HIGH
Energy & Utilities,Fuels,Biofuels,Top3_Supplier_Concentration_Pct,65.13,SUM(Top3_Supplier_Spend)/Total_Spend*100,spend_data.csv,2026-01-03,HIGH
Energy & Utilities,Fuels,Biofuels,Avg_Quality_Rating,4.41,AVG(Quality_Rating),spend_data.csv,2026-01-03,MEDIUM
Energy & Utilities,Fuels,Biofuels,Avg_Delivery_Rating,4.21,AVG(Delivery_Rating),spend_data.csv,2026-01-03,MEDIUM
Energy & Utilities,Fuels,Biofuels,Regional_Risk_Score,56.7,Concentration_Based_Risk_Calculation,spend_data.csv,2026-01-03,HIGH
