Rule_ID,Rule_Name,Rule_Description,Threshold_Value,Comparison_Logic,Risk_Level,Action_Recommendation,Category
R016,Innovation Partnership Gap,If spend with innovative/R&D suppliers is below target,10%,Innovation_Supplier_Spend_Percentage < Threshold,Low,Partner with innovative suppliers for competitive advantage,Strategic Sourcing
R017,Local Content Requirement,If local content percentage is below regulatory requirement,30%,Local_Content_Percentage < Threshold,High,Increase local supplier participation to meet regulations,Regulatory Compliance
R018,Sole Source Risk,If critical category has only one qualified supplier,1 supplier,Qualified_Supplier_Count < 2,Critical,Urgently qualify additional suppliers,Business Continuity
R019,Price Benchmark Deviation,If price exceeds market benchmark by threshold,10%,Price_Benchmark_Deviation > Threshold,Medium,Renegotiate pricing or switch to competitive suppliers,Cost Management
R020,Supplier Responsiveness,If supplier response time exceeds acceptable threshold,48 hours,Supplier_Response_Time > Threshold,Low,Set SLA requirements or find more responsive suppliers,Supplier Management
R021,Contract Compliance Rate,If supplier contract compliance rate falls below threshold,90%,Contract_Compliance_Rate < Threshold,Medium,Enforce penalties or terminate non-compliant suppliers,Contract Management
R022,Inventory Turnover,If inventory turnover ratio is below industry benchmark,6 times/year,Inventory_Turnover < Threshold,Low,Optimize ordering frequency or reduce safety stock,Inventory Management
R023,Supplier Concentration Index,If Herfindahl index exceeds concentration threshold,2500,Herfindahl_Index > Threshold,High,Reduce supplier concentration to improve competition,Market Competition
R024,Geopolitical Risk Exposure,If >40% of spend is in high geopolitical risk countries,40%,High_Risk_Country_Spend > Threshold,High,Diversify to politically stable regions,Geopolitical Risk
R025,Cybersecurity Compliance,If supplier cybersecurity rating is below minimum,B rating,Supplier_Cyber_Rating < Threshold,High,Require cybersecurity improvements or find secure suppliers,Information Security
R026,Sustainability Certification,If suppliers lack required sustainability certifications,100%,Certified_Suppliers_Percentage < Threshold,Medium,Mandate certifications (ISO 14001 RSPO etc),Sustainability
R027,Supplier Audit Frequency,If high-risk suppliers not audited within threshold period,12 months,Months_Since_Last_Audit > Threshold,Medium,Schedule immediate supplier audits,Risk Management
R028,Price Escalation Clause,If contracts lack price escalation protection,0%,Contracts_With_Escalation_Clause < 100%,Low,Add CPI-indexed escalation clauses to contracts,Cost Management
R029,Backup Supplier Availability,If critical categories lack qualified backup suppliers,1 backup,Backup_Supplier_Count < Threshold,High,Qualify and maintain backup suppliers for continuity,Business Continuity
R030,Supplier Innovation Score,If supplier innovation index is below competitive threshold,60,Supplier_Innovation_Score < Threshold,Low,Partner with more innovative suppliers,Competitive Advantage
R031,Carbon Footprint Excess,If category carbon footprint exceeds sustainability target,1000 kg CO2/unit,Carbon_Footprint > Threshold,Medium,Switch to lower carbon suppliers or offset emissions,Environmental Sustainability
R032,Ethical Sourcing Compliance,If suppliers lack ethical sourcing certifications,100%,Ethical_Certified_Suppliers < Threshold,High,Mandate ethical certifications (SA8000 Fair Trade),Corporate Ethics
R033,Supplier Consolidation Opportunity,If >20 suppliers in category with <2% spend each,20 suppliers,Low_Spend_Supplier_Count > Threshold,Low,Consolidate to reduce administrative overhead,Operational Efficiency
R034,Strategic Supplier Partnership,If strategic categories lack long-term partnerships,3 years,Average_Contract_Duration < Threshold,Low,Establish long-term strategic partnerships,Strategic Sourcing
R035,Supplier Performance Score,If weighted supplier performance score falls below threshold,75,Supplier_Performance_Score < Threshold,Medium,Implement performance improvement plan or replace,Supplier Management
