Rule_ID,Rule_Name,Rule_Description,Threshold_Value,Comparison_Logic,Risk_Level,Action_Recommendation,Category
R023,Supplier Concentration Index,Herfindahl-Hirschman Index exceeds concentration threshold,2500,Herfindahl_Index > Threshold,High,Diversify supplier base to reduce concentration risk,Supply Chain Risk
R024,Geopolitical Risk Exposure,Spend in high-risk geopolitical regions exceeds threshold,40%,High_Risk_Country_Spend > Threshold,Critical,Limit exposure and develop alternative sources,Geopolitical Risk
R025,Cybersecurity Rating,Supplier cybersecurity rating below minimum,B rating,Supplier_Cyber_Rating < Threshold,High,Require cybersecurity improvements or limit data sharing,Cybersecurity
R026,Certification Compliance,Percentage of certified suppliers below requirement,100%,Certified_Suppliers_Percentage < Threshold,High,Ensure all suppliers maintain required certifications,Compliance
R027,Audit Frequency,Time since last supplier audit exceeds threshold,12 months,Months_Since_Last_Audit > Threshold,Medium,Schedule supplier audit immediately,Compliance
R028,Price Escalation Clause,Contract lacks price protection clause,5% annual max,Price_Escalation_Cap = None,Medium,Negotiate price escalation caps in contract renewal,Contract Management
R029,Backup Supplier Availability,Critical categories without qualified backup supplier,1 supplier,Backup_Supplier_Count < Threshold,Critical,Qualify at least one backup supplier for critical categories,Supply Chain Risk
R030,Innovation Score,Supplier innovation score below target for strategic categories,60,Supplier_Innovation_Score < Threshold,Low,Engage suppliers on innovation roadmap or find alternatives,Innovation
R031,Carbon Footprint,Supplier carbon footprint exceeds sustainability target,1000 kg CO2/unit,Carbon_Footprint > Threshold,Medium,Work with supplier on carbon reduction or find greener alternatives,Sustainability
R032,Ethical Sourcing Compliance,Suppliers without ethical sourcing certification,100%,Ethical_Certified_Suppliers < Threshold,High,Require ethical certifications (SA8000 Fair Trade) from all suppliers,Compliance
R033,Tail Spend Consolidation,Number of low-spend suppliers exceeds efficient threshold,20 suppliers,Low_Spend_Supplier_Count > Threshold,Low,Consolidate to 5 preferred suppliers for operational efficiency,Cost Management
R034,Long-term Contract Coverage,Strategic spend without long-term contract coverage,3 years,Average_Contract_Duration < Threshold,Medium,Negotiate long-term agreements for strategic categories,Contract Management
R035,Supplier Performance Score,Composite supplier performance score below threshold,75,Supplier_Performance_Score < Threshold,High,Implement supplier development program or replace underperformers,Supplier Relationship
